NClients,Type,TotalCalls,Time,MicrosPerCall,Latency,Throughput
1,Sequence,100000,10101402.95800,101.01403,50.50701,316787.67923
1,Array,1,76802.37500,101.01403,38401.18750,873786311.94673
1,Complex,1,141876.49700,101.01403,70938.24850,190463118.07374
2,Sequence,200000,22141627.61200,110.70814,55.35407,289048.30811
2,Array,1,265337.30400,110.70814,132668.65200,252919069.38197
2,Complex,1,390904.31100,110.70814,195452.15550,138255011.46750
3,Sequence,300000,33976035.58500,113.25345,56.62673,282552.09399
3,Array,1,516922.17700,113.25345,258461.08850,129823921.25150
3,Complex,1,493199.95800,113.25345,246599.97900,164368870.44504
4,Sequence,400000,42393498.23000,105.98375,52.99187,301933.09197
4,Array,1,1024096.80400,105.98375,512048.40200,65529805.12963
4,Complex,1,812495.09800,105.98375,406247.54900,133033368.77486
5,Sequence,500000,57649500.46600,115.29900,57.64950,277539.26523
5,Array,1,1440933.76300,115.29900,720466.88150,46573177.56250
5,Complex,1,998588.24400,115.29900,499294.12200,135302213.71202
6,Sequence,600000,68671262.57400,114.45210,57.22605,279592.93714
6,Array,1,2015774.19800,114.45210,1007887.09900,33291855.83712
6,Complex,1,1236736.74800,114.45210,618368.37400,131097778.29615
7,Sequence,700000,80591649.04200,115.13093,57.56546,277944.43055
7,Array,1,2788887.06500,115.13093,1394443.53250,24062955.01966
7,Complex,1,1565388.68100,115.13093,782694.34050,120836238.49839
8,Sequence,800000,93452900.63600,116.81613,58.40806,273934.78240
8,Array,1,3611186.17100,116.81613,1805593.08550,18583606.83227
8,Complex,1,1524078.23100,116.81613,762039.11550,141841747.75475
9,Sequence,900000,104959490.78600,116.62166,58.31083,274391.57511
9,Array,1,5020644.04300,116.62166,2510322.02150,13366584.73001
9,Complex,1,1934004.29900,116.62166,967002.14950,125749544.67565
10,Sequence,1000000,121720331.63500,121.72033,60.86017,262897.73919
10,Array,1,6075027.97700,121.72033,3037513.98850,11046675.71147
10,Complex,1,2866242.08100,121.72033,1433121.04050,94277591.48164
11,Sequence,1100000,134842418.56000,122.58402,61.29201,261045.45125
11,Array,1,6919422.30900,122.58402,3459711.15450,9698622.37093
11,Complex,1,2744308.92600,122.58402,1372154.46300,108313111.97652
12,Sequence,1200000,145875234.91300,121.56270,60.78135,263238.65064
12,Array,1,8564029.21400,121.56270,4282014.60700,7836132.07324
12,Complex,1,3735256.06600,121.56270,1867628.03300,86812490.03291
13,Sequence,1300000,151714840.04800,116.70372,58.35186,274198.62149
13,Array,1,10017626.49300,116.70372,5008813.24650,6699078.27437
13,Complex,1,4092252.45500,116.70372,2046126.22750,85842485.00378
14,Sequence,1400000,162178508.22600,115.84179,57.92090,276238.82159
14,Array,1,11193058.49000,115.84179,5596529.24500,5995578.78304
14,Complex,1,4458671.51700,115.84179,2229335.75850,84848448.36799
