NClients,Type,TotalCalls,Time,MicrosPerCall,Latency,Throughput
1,Sequence,100000,3618593.28400,36.18593,18.09297,884321.54400
1,Array,1,29400.75800,36.18593,14700.37900,2282555572.20668
1,Complex,1,173003.36200,36.18593,86501.68100,156194883.65781
2,Sequence,200000,8325447.22600,41.62724,20.81362,768727.47208
2,Array,1,128293.29400,41.62724,64146.64700,523089414.16689
2,Complex,1,281159.59300,41.62724,140579.79650,192219939.65541
3,Sequence,300000,11955480.36300,39.85160,19.92580,802979.02790
3,Array,1,153293.76100,39.85160,76646.88050,437779486.66808
3,Complex,1,527792.04800,39.85160,263896.02400,153595948.07688
4,Sequence,400000,17020418.67300,42.55105,21.27552,752037.90494
4,Array,1,214897.35000,42.55105,107448.67500,312283348.30560
4,Complex,1,930196.17000,42.55105,465098.08500,116200177.43139
5,Sequence,500000,20656225.06400,41.31245,20.65623,774584.89876
5,Array,1,281188.16200,41.31245,140594.08100,238661768.41399
5,Complex,1,1193449.13700,41.31245,596724.56850,113210689.76566
6,Sequence,600000,26075741.77200,43.45957,21.72978,736316.54155
6,Array,1,557360.57100,43.45957,278680.28550,120404756.79791
6,Complex,1,1338829.07000,43.45957,669414.53500,121100925.90087
7,Sequence,700000,30416371.95500,43.45196,21.72598,736445.49170
7,Array,1,687816.10100,43.45196,343908.05050,97568032.94141
7,Complex,1,1751739.81800,43.45196,875869.90900,107981606.66118
8,Sequence,800000,37856826.93500,47.32103,23.66052,676232.05833
8,Array,1,764769.27800,47.32103,382384.63900,87750470.54126
8,Complex,1,1724770.06400,47.32103,862385.03200,125337240.31518
9,Sequence,900000,40272110.30600,44.74679,22.37339,715135.10917
9,Array,1,1163867.59600,44.74679,581933.79800,57660222.03096
9,Complex,1,2390005.71400,44.74679,1195002.85700,101757145.84087
10,Sequence,1000000,45109805.11400,45.10981,22.55490,709380.14295
10,Array,1,1393566.74700,45.10981,696783.37350,48156189.24925
10,Complex,1,3408590.70700,45.10981,1704295.35350,79276869.30703
11,Sequence,1100000,51239630.21600,46.58148,23.29074,686968.26756
11,Array,1,1280817.86700,46.58148,640408.93350,52395321.55902
11,Complex,1,3446635.89700,46.58148,1723317.94850,86241961.40321
12,Sequence,1200000,56099351.29200,46.74946,23.37473,684499.89377
12,Array,1,1218844.51800,46.74946,609422.25900,55059413.24667
12,Complex,1,3627138.59000,46.74946,1813569.29500,89400190.24749
13,Sequence,1300000,66357680.17800,51.04437,25.52218,626905.58031
13,Array,1,1338191.07800,51.04437,669095.53900,50148939.94085
13,Complex,1,3797965.33500,51.04437,1898982.66750,92494030.09625
14,Sequence,1400000,75251180.46400,53.75084,26.87542,595339.49798
14,Array,1,2526005.79100,53.75084,1263002.89550,26567185.33232
14,Complex,1,4665110.78300,53.75084,2332555.39150,81093756.95398
