NClients,Type,TotalCalls,Time,MicrosPerCall,Latency,Throughput,Size
1,Sequence,100000,10200602.98100,102.00603,51.00301,313706.94516,4
1,Vector,10,142690.10100,14269.01010,7134.50505,897048913.01465,1600000
1,Hashmap,10,830542.57900,83054.25790,41527.12895,32535646.79674,337778
2,Sequence,200000,23795450.83000,118.97725,59.48863,268958.97227,4
2,Vector,20,555381.60000,27769.08000,13884.54000,460944330.88889,1600000
2,Hashmap,20,2059896.88200,102994.84410,51497.42205,26236497.79378,337778
3,Sequence,300000,31488788.81900,104.96263,52.48131,304870.41134,4
3,Vector,30,1090709.78500,36356.99283,18178.49642,352064321.12462,1600000
3,Hashmap,30,2743321.33500,91444.04450,45722.02225,29550573.95783,337778
4,Sequence,400000,45834701.85200,114.58675,57.29338,279264.38883,4
4,Vector,40,1882029.87300,47050.74682,23525.37341,272046691.36514,1600000
4,Hashmap,40,4064783.95400,101619.59885,50809.79943,26591563.34585,337778
5,Sequence,500000,55021870.15300,110.04374,55.02187,290793.46005,4
5,Vector,50,3144684.43500,62893.68870,31446.84435,203518035.98379,1600000
5,Hashmap,50,5247418.25100,104948.36502,52474.18251,25748128.61053,337778
6,Sequence,600000,70229202.89100,117.04867,58.52434,273390.54424,4
6,Vector,60,4414217.16100,73570.28602,36785.14301,173983284.46216,1600000
6,Hashmap,60,7339874.78400,122331.24640,61165.62320,22089401.35511,337778
7,Sequence,700000,80830569.26200,115.47224,57.73612,277122.87819,4
7,Vector,70,5844352.99100,83490.75701,41745.37851,153310383.78068,1600000
7,Hashmap,70,9883703.73300,141195.76761,70597.88381,19138137.39362,337778
8,Sequence,800000,91639240.93600,114.54905,57.27453,279356.30783,4
8,Vector,80,7763138.64600,97039.23308,48519.61654,131905411.80501,1600000
8,Hashmap,80,13285816.31600,166072.70395,83036.35198,16271331.38516,337778
9,Sequence,900000,108741542.97900,120.82394,60.41197,264848.18231,4
9,Vector,90,9483481.05000,105372.01167,52686.00583,121474382.02557,1600000
9,Hashmap,90,15262193.88300,169579.93203,84789.96602,15934810.01908,337778
10,Sequence,1000000,124821282.33500,124.82128,62.41064,256366.53783,4
10,Vector,100,11700659.15500,117006.59155,58503.29578,109395546.27168,1600000
10,Hashmap,100,18627217.32100,186272.17321,93136.08660,14506858.18194,337778
1,Sequence,100000,10812585.87900,108.12586,54.06293,295951.40661,4
1,Vector,10,143694.28400,14369.42840,7184.71420,890780039.65697,1600000
1,Hashmap,10,930292.53000,93029.25300,46514.62650,29047035.34489,337778
2,Sequence,200000,23394034.84500,116.97017,58.48509,273574.01331,4
2,Vector,20,544908.73400,27245.43670,13622.71835,469803444.18557,1600000
2,Hashmap,20,1931101.38000,96555.06900,48277.53450,27986350.46286,337778
3,Sequence,300000,31742612.79200,105.80871,52.90435,302432.57110,4
3,Vector,30,1159072.10200,38635.73673,19317.86837,331299493.22169,1600000
3,Hashmap,30,3056311.56400,101877.05213,50938.52607,26524363.86227,337778
4,Sequence,400000,42081188.22400,105.20297,52.60149,304173.92047,4
4,Vector,40,1903670.34300,47591.75858,23795.87929,268954129.52283,1600000
4,Hashmap,40,4800134.00500,120003.35013,60001.67506,22517904.68504,337778
5,Sequence,500000,52916090.05000,105.83218,52.91609,302365.49951,4
5,Vector,50,2980136.84200,59602.73684,29801.36842,214755239.08174,1600000
5,Hashmap,50,5450394.85200,109007.89704,54503.94852,24789249.89268,337778
6,Sequence,600000,72383240.73500,120.63873,60.31937,265254.77175,4
6,Vector,60,4494966.04700,74916.10078,37458.05039,170857797.80530,1600000
6,Hashmap,60,7923901.61000,132065.02683,66032.51342,20461314.13285,337778
7,Sequence,700000,79133221.22800,113.04746,56.52373,283066.95535,4
7,Vector,70,5935413.68600,84791.62409,42395.81204,150958306.76696,1600000
7,Hashmap,70,11484842.52500,164069.17893,82034.58946,16470028.17742,337778
8,Sequence,800000,98127864.55900,122.65983,61.32992,260884.10377,4
8,Vector,80,7684135.74900,96051.69686,48025.84843,133261570.78020,1600000
8,Hashmap,80,13486342.76100,168579.28451,84289.64226,16029395.35432,337778
9,Sequence,900000,114364033.42700,127.07115,63.53557,251827.42456,4
9,Vector,90,9634548.59200,107050.53991,53525.26996,119569691.20033,1600000
9,Hashmap,90,16070524.27700,178561.38086,89280.69043,15133305.90888,337778
10,Sequence,1000000,119513761.00800,119.51376,59.75688,267751.59388,4
10,Vector,100,11350557.04100,113505.57041,56752.78520,112769795.82380,1600000
10,Hashmap,100,18266411.15000,182664.11150,91332.05575,14793404.01248,337778
1,Sequence,100000,10503274.40000,105.03274,52.51637,304666.89512,4
1,Vector,10,144225.09600,14422.50960,7211.25480,887501576.00866,1600000
1,Hashmap,10,998266.46600,99826.64660,49913.32330,27069165.31843,337778
2,Sequence,200000,24182990.49900,120.91495,60.45748,264648.82415,4
2,Vector,20,519535.01300,25976.75065,12988.37532,492748310.68989,1600000
2,Hashmap,20,2146356.96300,107317.84815,53658.92408,25179632.71331,337778
3,Sequence,300000,35150772.74500,117.16924,58.58462,273109.21639,4
3,Vector,30,1090468.53400,36348.95113,18174.47557,352142210.46015,1600000
3,Hashmap,30,3453359.62100,115111.98737,57555.99368,23474740.22312,337778
4,Sequence,400000,45871466.05500,114.67867,57.33933,279040.56924,4
4,Vector,40,1904994.68800,47624.86720,23812.43360,268767153.64363,1600000
4,Hashmap,40,4105325.14300,102633.12858,51316.56429,26328964.51193,337778
5,Sequence,500000,55347958.43600,110.69592,55.34796,289080.21998,4
5,Vector,50,2920839.86800,58416.79736,29208.39868,219115058.99782,1600000
5,Hashmap,50,5821003.88700,116420.07774,58210.03887,23210979.17521,337778
6,Sequence,600000,75588821.74900,125.98137,62.99068,254005.81139,4
6,Vector,60,4560649.64700,76010.82745,38005.41373,168397061.70045,1600000
6,Hashmap,60,7813548.29200,130225.80487,65112.90243,20750296.01673,337778
7,Sequence,700000,79826777.89900,114.03825,57.01913,280607.59296,4
7,Vector,70,5959368.89000,85133.84129,42566.92064,150351491.33049,1600000
7,Hashmap,70,10366563.53900,148093.76484,74046.88242,18246710.13575,337778
8,Sequence,800000,98526542.42800,123.15818,61.57909,259828.46215,4
8,Vector,80,7779523.54200,97244.04428,48622.02214,131627598.33191,1600000
8,Hashmap,80,14476732.00500,180959.15006,90479.57503,14932784.54870,337778
9,Sequence,900000,105450075.72800,117.16675,58.58338,273115.02435,4
9,Vector,90,10174740.50800,113052.67231,56526.33616,113221560.69673,1600000
9,Hashmap,90,15211233.92600,169013.71029,84506.85514,15988194.06651,337778
10,Sequence,1000000,116554762.19600,116.55476,58.27738,274549.05657,4
10,Vector,100,11530793.20000,115307.93200,57653.96600,111007107.47288,1600000
10,Hashmap,100,19414797.87800,194147.97878,97073.98939,13918373.07285,337778
1,Sequence,100000,10677724.98000,106.77725,53.38862,299689.30704,4
1,Vector,10,142275.42300,14227.54230,7113.77115,899663464.71520,1600000
1,Hashmap,10,801972.45700,80197.24570,40098.62285,33694723.25906,337778
2,Sequence,200000,20590010.90000,102.95005,51.47503,310830.33569,4
2,Vector,20,507075.80700,25353.79035,12676.89518,504855480.11956,1600000
2,Hashmap,20,2048000.55800,102400.02790,51200.01395,26388899.06006,337778
3,Sequence,300000,31778029.30600,105.92676,52.96338,302095.51094,4
3,Vector,30,1102102.51900,36736.75063,18368.37532,348424936.31938,1600000
3,Hashmap,30,2825053.26500,94168.44217,47084.22108,28695643.01826,337778
4,Sequence,400000,41469420.22300,103.67355,51.83678,308661.17566,4
4,Vector,40,1965477.82600,49136.94565,24568.47282,260496451.91978,1600000
4,Hashmap,40,3913191.18300,97829.77958,48914.88979,27621691.59267,337778
5,Sequence,500000,53072643.38400,106.14529,53.07264,301473.58375,4
5,Vector,50,2923880.84500,58477.61690,29238.80845,218887168.77585,1600000
5,Hashmap,50,5674429.08800,113488.58176,56744.29088,23810536.33849,337778
6,Sequence,600000,70295619.06100,117.15937,58.57968,273132.24147,4
6,Vector,60,4184801.25100,69746.68752,34873.34376,183521260.37443,1600000
6,Hashmap,60,8749493.25200,145824.88753,72912.44377,18530609.18276,337778
7,Sequence,700000,77973178.11000,111.39025,55.69513,287278.27367,4
7,Vector,70,5815352.94100,83076.47059,41538.23529,154074913.26673,1600000
7,Hashmap,70,10248633.51200,146409.05017,73204.52509,18456673.25098,337778
8,Sequence,800000,97735800.46200,122.16975,61.08488,261930.63216,4
8,Vector,80,8077263.54700,100965.79434,50482.89717,126775608.35319,1600000
8,Hashmap,80,13882081.04900,173526.01311,86763.00656,15572443.29845,337778
9,Sequence,900000,109194011.30800,121.32668,60.66334,263750.72822,4
9,Vector,90,9752232.78400,108358.14204,54179.07102,118126794.70593,1600000
