NClients,Type,TotalCalls,Time,MicrosPerCall,Latency,Throughput,Size
1,Sequence,100000,4003592.68500,40.03593,20.01796,799282.10779,4
1,Vector,10,56443.07800,5644.30780,2822.15390,2267771435.14392,1600000
1,Hashmap,10,914768.44700,91476.84470,45738.42235,29539978.21921,337778
2,Sequence,200000,8892354.03700,44.46177,22.23089,719719.43238,4
2,Vector,20,128699.16600,6434.95830,3217.47915,1989134879.08694,1600000
2,Hashmap,20,2525337.99500,126266.89975,63133.44988,21400889.74506,337778
3,Sequence,300000,12610487.81400,42.03496,21.01748,761271.10557,4
3,Vector,30,187185.88600,6239.52953,3119.76477,2051436719.96723,1600000
3,Hashmap,30,3425167.03100,114172.23437,57086.11718,23667961.08519,337778
4,Sequence,400000,16157059.90700,40.39265,20.19632,792223.34222,4
4,Vector,40,281319.43500,7032.98588,3516.49294,1819995124.04822,1600000
4,Hashmap,40,4071008.32900,101775.20823,50887.60411,26550906.13056,337778
5,Sequence,500000,22488315.12200,44.97663,22.48832,711480.60285,4
5,Vector,50,484653.70100,9693.07402,4846.53701,1320530512.15635,1600000
5,Hashmap,50,5697875.48500,113957.50970,56978.75485,23712557.48843,337778
6,Sequence,600000,27160815.53200,45.26803,22.63401,706900.71796,4
6,Vector,60,647284.49400,10788.07490,5394.03745,1186495284.71479,1600000
6,Hashmap,60,7966901.63600,132781.69393,66390.84697,20350877.59429,337778
7,Sequence,700000,29999360.53700,42.85623,21.42811,746682.58253,4
7,Vector,70,696584.44800,9951.20640,4975.60320,1286276204.66198,1600000
7,Hashmap,70,9840342.93600,140576.32766,70288.16383,19222468.28492,337778
8,Sequence,800000,34237767.75300,42.79721,21.39860,747712.29785,4
8,Vector,80,1257652.41100,15720.65514,7860.32757,814215431.10293,1600000
8,Hashmap,80,10617054.23400,132713.17793,66356.58896,20361384.16885,337778
9,Sequence,900000,41854591.53800,46.50510,23.25255,688096.54907,4
9,Vector,90,1511410.90400,16793.45449,8396.72724,762201726.18260,1600000
9,Hashmap,90,12298441.75900,136649.35288,68324.67644,19774875.93678,337778
10,Sequence,1000000,45396489.56500,45.39649,22.69824,704900.31953,4
10,Vector,100,1325196.74700,13251.96747,6625.98374,965894311.84289,1600000
10,Hashmap,100,13193757.99400,131937.57994,65968.78997,20481079.01652,337778
1,Sequence,100000,3985584.52500,39.85585,19.92792,802893.52288,4
1,Vector,10,45782.30300,4578.23030,2289.11515,2795840130.62864,1600000
1,Hashmap,10,820392.18400,82039.21840,41019.60920,32938197.76323,337778
2,Sequence,200000,7369012.60200,36.84506,18.42253,868501.70378,4
2,Vector,20,95134.45100,4756.72255,2378.36128,2690928441.89536,1600000
2,Hashmap,20,1733631.42100,86681.57105,43340.78553,31174146.56042,337778
3,Sequence,300000,12082469.63600,40.27490,20.13745,794539.55104,4
3,Vector,30,207303.06700,6910.10223,3455.05112,1852360438.06337,1600000
