NClients,Type,TotalCalls,Time,MicrosPerCall,Latency,Throughput,Size
1,Sequence,10000,1282134.66800,128.21347,64.10673,249583.76681,4
1,Vector,10,141678.76700,14167.87670,7083.93835,903452244.18843,1600000
1,Hashmap,10,1002178.99900,100217.89990,50108.94995,13481743.29484,168889
2,Sequence,20000,2228498.45500,111.42492,55.71246,287188.89105,4
2,Vector,20,548537.90000,27426.89500,13713.44750,466695190.97951,1600000
2,Hashmap,20,1650548.27000,82527.41350,41263.70675,16371675.09194,168889
3,Sequence,30000,3772732.94300,125.75776,62.87888,254457.44888,4
3,Vector,30,1119062.04800,37302.06827,18651.03413,343144511.67948,1600000
3,Hashmap,30,3014020.69400,100467.35647,50233.67823,13448268.64682,168889
4,Sequence,40000,5367080.91400,134.17702,67.08851,238490.90791,4
4,Vector,40,2039155.00600,50978.87515,25489.43758,251084394.51317,1600000
4,Hashmap,40,4183176.07800,104579.40195,52289.70098,12919484.85846,168889
5,Sequence,50000,6647064.72900,132.94129,66.47065,240707.75075,4
5,Vector,50,2984500.93700,59690.01874,29845.00937,214441212.62141,1600000
5,Hashmap,50,6005614.40400,120112.28808,60056.14404,11248740.83741,168889
6,Sequence,60000,7752702.24600,129.21170,64.60585,247655.58370,4
6,Vector,60,4187593.04900,69793.21748,34896.60874,183398909.83041,1600000
6,Hashmap,60,8208845.21900,136814.08698,68407.04349,9875532.77437,168889
7,Sequence,70000,9029234.78200,128.98907,64.49453,248083.03849,4
7,Vector,70,5956819.21300,85097.41733,42548.70866,150415845.76624,1600000
7,Hashmap,70,11018286.40900,157404.09156,78702.04578,8583715.87825,168889
8,Sequence,80000,10984399.31000,137.30499,68.65250,233057.80569,4
8,Vector,80,7856221.58300,98202.76979,49101.38489,130342555.79245,1600000
8,Hashmap,80,13993097.58000,174913.71975,87456.85988,7724448.38479,168889
9,Sequence,90000,11969371.72700,132.99302,66.49651,240614.13295,4
9,Vector,90,8852855.88700,98365.06541,49182.53271,130127499.49896,1600000
9,Hashmap,90,16630484.19700,184783.15774,92391.57887,7311878.50934,168889
10,Sequence,100000,13580833.03900,135.80833,67.90417,235626.19398,4
10,Vector,100,11882414.86700,118824.14867,59412.07434,107722210.87439,1600000
