NClients,Type,TotalCalls,Time,MicrosPerCall,Latency,Throughput,Size
1,Sequence,10000,479315.18600,47.93152,23.96576,667619.15613,4
1,Vector,10,51003.72800,5100.37280,2550.18640,2509620473.23286,1600000
1,Hashmap,10,1016849.86400,101684.98640,50842.49320,13287231.94873,168889
2,Sequence,20000,1036003.91100,51.80020,25.90010,617758.28566,4
2,Vector,20,111688.83200,5584.44160,2792.22080,2292082345.35034,1600000
2,Hashmap,20,1896230.22400,94811.51120,47405.75560,14250505.90271,168889
3,Sequence,30000,1686379.98900,56.21267,28.10633,569266.71703,4
3,Vector,30,166615.73100,5553.85770,2776.92885,2304704349.91520,1600000
3,Hashmap,30,2927824.05300,97594.13510,48797.06755,13844192.56972,168889
4,Sequence,40000,2264714.11800,56.61785,28.30893,565192.74986,4
4,Vector,40,257127.34800,6428.18370,3214.09185,1991231208.90276,1600000
4,Hashmap,40,4040418.15600,101010.45390,50505.22695,13375962.06961,168889
5,Sequence,50000,3079800.60300,61.59601,30.79801,519514.15246,4
5,Vector,50,432612.29000,8652.24580,4326.12290,1479384693.39371,1600000
5,Hashmap,50,6340972.27300,126819.44546,63409.72273,10653823.59227,168889
6,Sequence,60000,3803830.22300,63.39717,31.69859,504754.38898,4
6,Vector,60,501904.45600,8365.07427,4182.53713,1530171710.60940,1600000
6,Hashmap,60,8290406.42600,138173.44043,69086.72022,9778377.05830,168889
7,Sequence,70000,3996400.50600,57.09144,28.54572,560504.38304,4
7,Vector,70,919637.43800,13137.67769,6568.83884,974297003.33709,1600000
7,Hashmap,70,11013193.70500,157331.33864,78665.66932,8587685.14687,168889
8,Sequence,80000,4758482.15100,59.48103,29.74051,537986.67700,4
8,Vector,80,925692.22600,11571.15283,5785.57641,1106199200.16483,1600000
8,Hashmap,80,10853122.92700,135664.03659,67832.01829,9959249.58438,168889
9,Sequence,90000,5491898.41900,61.02109,30.51055,524408.82556,4
9,Vector,90,1304294.63000,14492.16256,7246.08128,883236021.60349,1600000
9,Hashmap,90,12405284.86200,137836.49847,68918.24923,9802280.34686,168889
10,Sequence,100000,6424395.82500,64.24396,32.12198,498101.31367,4
10,Vector,100,1102060.77000,11020.60770,5510.30385,1161460451.94949,1600000
10,Hashmap,100,13978423.79900,139784.23799,69892.11900,9665696.35767,168889
1,Sequence,10000,612935.99600,61.29360,30.64680,522077.34917,4
1,Vector,10,53403.43300,5340.34330,2670.17165,2396849655.71408,1600000
1,Hashmap,10,795527.59600,79552.75960,39776.37980,16983848.28878,168889
2,Sequence,20000,1215669.94500,60.78350,30.39175,526458.68447,4
2,Vector,20,114965.79200,5748.28960,2874.14480,2226749327.31295,1600000
2,Hashmap,20,1818417.13300,90920.85665,45460.42833,14860308.73203,168889
3,Sequence,30000,1813260.70700,60.44202,30.22101,529432.96918,4
3,Vector,30,208269.98400,6942.33280,3471.16640,1843760644.83685,1600000
